state,district,month,child_enrolments,adult_enrolments,total_enrolments
Andhra Pradesh,Adilabad,2025-10,222.0,656.0,878.0
Andhra Pradesh,Adilabad,2025-11,206.0,692.0,898.0
Andhra Pradesh,Adilabad,2025-12,233.0,1021.0,1254.0
Andhra Pradesh,Alluri Sitharama Raju,2025-01,5218.0,5934.0,11152.0
Andhra Pradesh,Alluri Sitharama Raju,2025-02,193.0,211.0,404.0
Andhra Pradesh,Alluri Sitharama Raju,2025-03,116.0,114.0,230.0
Andhra Pradesh,Alluri Sitharama Raju,2025-04,201.0,245.0,446.0
Andhra Pradesh,Alluri Sitharama Raju,2025-05,130.0,169.0,299.0
Andhra Pradesh,Alluri Sitharama Raju,2025-06,113.0,129.0,242.0
Andhra Pradesh,Alluri Sitharama Raju,2025-07,69.0,74.0,143.0
Andhra Pradesh,Alluri Sitharama Raju,2025-08,147.0,164.0,311.0
Andhra Pradesh,Alluri Sitharama Raju,2025-09,114.0,130.0,244.0
Andhra Pradesh,Alluri Sitharama Raju,2025-10,116.0,128.0,244.0
Andhra Pradesh,Alluri Sitharama Raju,2025-11,110.0,134.0,244.0
Andhra Pradesh,Alluri Sitharama Raju,2025-12,140.0,143.0,283.0
Andhra Pradesh,Anakapalli,2025-01,2226.0,1843.0,4069.0
Andhra Pradesh,Anakapalli,2025-02,40.0,47.0,87.0
Andhra Pradesh,Anakapalli,2025-03,31.0,42.0,73.0
Andhra Pradesh,Anakapalli,2025-04,44.0,88.0,132.0
Andhra Pradesh,Anakapalli,2025-05,29.0,31.0,60.0
Andhra Pradesh,Anakapalli,2025-06,58.0,77.0,135.0
Andhra Pradesh,Anakapalli,2025-07,18.0,14.0,32.0
Andhra Pradesh,Anakapalli,2025-08,50.0,59.0,109.0
Andhra Pradesh,Anakapalli,2025-09,33.0,47.0,80.0
Andhra Pradesh,Anakapalli,2025-10,30.0,46.0,76.0
Andhra Pradesh,Anakapalli,2025-11,35.0,52.0,87.0
Andhra Pradesh,Anakapalli,2025-12,46.0,45.0,91.0
Andhra Pradesh,Anantapur,2025-01,21756.0,32725.0,54481.0
Andhra Pradesh,Anantapur,2025-02,468.0,1113.0,1581.0
Andhra Pradesh,Anantapur,2025-03,446.0,979.0,1425.0
Andhra Pradesh,Anantapur,2025-04,766.0,1483.0,2249.0
Andhra Pradesh,Anantapur,2025-05,397.0,924.0,1321.0
Andhra Pradesh,Anantapur,2025-06,545.0,1163.0,1708.0
Andhra Pradesh,Anantapur,2025-07,295.0,412.0,707.0
Andhra Pradesh,Anantapur,2025-08,511.0,920.0,1431.0
Andhra Pradesh,Anantapur,2025-09,284.0,868.0,1152.0
Andhra Pradesh,Anantapur,2025-10,489.0,786.0,1275.0
Andhra Pradesh,Anantapur,2025-11,387.0,890.0,1277.0
Andhra Pradesh,Anantapur,2025-12,410.0,1170.0,1580.0
Andhra Pradesh,Ananthapur,2025-01,50370.0,11369.0,61739.0
Andhra Pradesh,Ananthapur,2025-02,478.0,385.0,863.0
Andhra Pradesh,Ananthapur,2025-03,483.0,345.0,828.0
Andhra Pradesh,Ananthapur,2025-04,675.0,474.0,1149.0
Andhra Pradesh,Ananthapur,2025-05,344.0,321.0,665.0
Andhra Pradesh,Ananthapur,2025-06,523.0,395.0,918.0
Andhra Pradesh,Ananthapur,2025-07,234.0,156.0,390.0
Andhra Pradesh,Ananthapur,2025-08,385.0,303.0,688.0
Andhra Pradesh,Ananthapur,2025-09,345.0,315.0,660.0
Andhra Pradesh,Ananthapur,2025-10,411.0,277.0,688.0
Andhra Pradesh,Ananthapur,2025-11,440.0,351.0,791.0
Andhra Pradesh,Ananthapur,2025-12,352.0,400.0,752.0
Andhra Pradesh,Ananthapuramu,2025-01,71315.0,12098.0,83413.0
Andhra Pradesh,Ananthapuramu,2025-02,749.0,305.0,1054.0
Andhra Pradesh,Ananthapuramu,2025-03,589.0,259.0,848.0
Andhra Pradesh,Ananthapuramu,2025-04,892.0,435.0,1327.0
Andhra Pradesh,Ananthapuramu,2025-05,430.0,220.0,650.0
Andhra Pradesh,Ananthapuramu,2025-06,733.0,314.0,1047.0
Andhra Pradesh,Ananthapuramu,2025-07,282.0,116.0,398.0
Andhra Pradesh,Ananthapuramu,2025-08,531.0,266.0,797.0
Andhra Pradesh,Ananthapuramu,2025-09,420.0,275.0,695.0
Andhra Pradesh,Ananthapuramu,2025-10,599.0,236.0,835.0
Andhra Pradesh,Ananthapuramu,2025-11,479.0,286.0,765.0
Andhra Pradesh,Ananthapuramu,2025-12,591.0,326.0,917.0
Andhra Pradesh,Annamayya,2025-01,3658.0,2294.0,5952.0
Andhra Pradesh,Annamayya,2025-02,78.0,75.0,153.0
Andhra Pradesh,Annamayya,2025-03,42.0,61.0,103.0
Andhra Pradesh,Annamayya,2025-04,103.0,95.0,198.0
Andhra Pradesh,Annamayya,2025-05,52.0,65.0,117.0
Andhra Pradesh,Annamayya,2025-06,65.0,79.0,144.0
Andhra Pradesh,Annamayya,2025-07,27.0,19.0,46.0
Andhra Pradesh,Annamayya,2025-08,63.0,79.0,142.0
Andhra Pradesh,Annamayya,2025-09,47.0,60.0,107.0
Andhra Pradesh,Annamayya,2025-10,55.0,63.0,118.0
Andhra Pradesh,Annamayya,2025-11,72.0,70.0,142.0
Andhra Pradesh,Annamayya,2025-12,64.0,63.0,127.0
Andhra Pradesh,Bapatla,2025-01,1908.0,1253.0,3161.0
Andhra Pradesh,Bapatla,2025-02,89.0,39.0,128.0
Andhra Pradesh,Bapatla,2025-03,55.0,36.0,91.0
Andhra Pradesh,Bapatla,2025-04,118.0,68.0,186.0
Andhra Pradesh,Bapatla,2025-05,78.0,28.0,106.0
Andhra Pradesh,Bapatla,2025-06,72.0,42.0,114.0
Andhra Pradesh,Bapatla,2025-07,47.0,12.0,59.0
Andhra Pradesh,Bapatla,2025-08,51.0,24.0,75.0
Andhra Pradesh,Bapatla,2025-09,49.0,23.0,72.0
Andhra Pradesh,Bapatla,2025-10,52.0,28.0,80.0
Andhra Pradesh,Bapatla,2025-11,60.0,43.0,103.0
Andhra Pradesh,Bapatla,2025-12,72.0,42.0,114.0
Andhra Pradesh,Chittoor,2025-01,112614.0,50232.0,162846.0
Andhra Pradesh,Chittoor,2025-02,1619.0,1440.0,3059.0
Andhra Pradesh,Chittoor,2025-03,1934.0,1190.0,3124.0
Andhra Pradesh,Chittoor,2025-04,3657.0,1910.0,5567.0
Andhra Pradesh,Chittoor,2025-05,2433.0,1144.0,3577.0
Andhra Pradesh,Chittoor,2025-06,2483.0,1547.0,4030.0
Andhra Pradesh,Chittoor,2025-07,1382.0,536.0,1918.0
Andhra Pradesh,Chittoor,2025-08,1667.0,1396.0,3063.0
Andhra Pradesh,Chittoor,2025-09,1090.0,1252.0,2342.0
Andhra Pradesh,Chittoor,2025-10,1335.0,1202.0,2537.0
Andhra Pradesh,Chittoor,2025-11,1368.0,1288.0,2656.0
Andhra Pradesh,Chittoor,2025-12,1753.0,1640.0,3393.0
Andhra Pradesh,Cuddapah,2025-01,79058.0,31889.0,110947.0
Andhra Pradesh,Cuddapah,2025-02,1530.0,998.0,2528.0
Andhra Pradesh,Cuddapah,2025-03,1202.0,1086.0,2288.0
Andhra Pradesh,Cuddapah,2025-04,1845.0,1427.0,3272.0
Andhra Pradesh,Cuddapah,2025-05,1293.0,984.0,2277.0
Andhra Pradesh,Cuddapah,2025-06,1203.0,934.0,2137.0
Andhra Pradesh,Cuddapah,2025-07,558.0,372.0,930.0
Andhra Pradesh,Cuddapah,2025-08,994.0,902.0,1896.0
Andhra Pradesh,Cuddapah,2025-09,818.0,864.0,1682.0
Andhra Pradesh,Cuddapah,2025-10,908.0,815.0,1723.0
Andhra Pradesh,Cuddapah,2025-11,1223.0,1052.0,2275.0
Andhra Pradesh,Cuddapah,2025-12,1156.0,1030.0,2186.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,2005.0,1726.0,3731.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,83.0,52.0,135.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,72.0,51.0,123.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,110.0,68.0,178.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,59.0,58.0,117.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,63.0,61.0,124.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,28.0,21.0,49.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,46.0,48.0,94.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,51.0,43.0,94.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,50.0,34.0,84.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,60.0,60.0,120.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,79.0,54.0,133.0
Andhra Pradesh,East Godavari,2025-01,133483.0,61304.0,194787.0
Andhra Pradesh,East Godavari,2025-02,2337.0,1304.0,3641.0
Andhra Pradesh,East Godavari,2025-03,2113.0,1536.0,3649.0
Andhra Pradesh,East Godavari,2025-04,3317.0,2230.0,5547.0
Andhra Pradesh,East Godavari,2025-05,2254.0,1350.0,3604.0
Andhra Pradesh,East Godavari,2025-06,2339.0,1445.0,3784.0
Andhra Pradesh,East Godavari,2025-07,1459.0,611.0,2070.0
Andhra Pradesh,East Godavari,2025-08,1919.0,1221.0,3140.0
Andhra Pradesh,East Godavari,2025-09,1427.0,1320.0,2747.0
Andhra Pradesh,East Godavari,2025-10,1696.0,1272.0,2968.0
Andhra Pradesh,East Godavari,2025-11,2081.0,1592.0,3673.0
Andhra Pradesh,East Godavari,2025-12,2313.0,1788.0,4101.0
Andhra Pradesh,Eluru,2025-01,2609.0,2627.0,5236.0
Andhra Pradesh,Eluru,2025-02,60.0,47.0,107.0
Andhra Pradesh,Eluru,2025-03,74.0,86.0,160.0
Andhra Pradesh,Eluru,2025-04,90.0,99.0,189.0
Andhra Pradesh,Eluru,2025-05,51.0,41.0,92.0
Andhra Pradesh,Eluru,2025-06,52.0,64.0,116.0
Andhra Pradesh,Eluru,2025-07,30.0,19.0,49.0
Andhra Pradesh,Eluru,2025-08,43.0,52.0,95.0
Andhra Pradesh,Eluru,2025-09,54.0,60.0,114.0
Andhra Pradesh,Eluru,2025-10,58.0,51.0,109.0
Andhra Pradesh,Eluru,2025-11,65.0,62.0,127.0
Andhra Pradesh,Eluru,2025-12,47.0,65.0,112.0
Andhra Pradesh,Guntur,2025-01,130649.0,64403.0,195052.0
Andhra Pradesh,Guntur,2025-02,2087.0,1691.0,3778.0
Andhra Pradesh,Guntur,2025-03,1836.0,1904.0,3740.0
Andhra Pradesh,Guntur,2025-04,2760.0,2335.0,5095.0
Andhra Pradesh,Guntur,2025-05,1782.0,1337.0,3119.0
Andhra Pradesh,Guntur,2025-06,2083.0,1685.0,3768.0
Andhra Pradesh,Guntur,2025-07,1294.0,599.0,1893.0
Andhra Pradesh,Guntur,2025-08,1853.0,1338.0,3191.0
Andhra Pradesh,Guntur,2025-09,1430.0,1421.0,2851.0
Andhra Pradesh,Guntur,2025-10,1822.0,1648.0,3470.0
Andhra Pradesh,Guntur,2025-11,2033.0,1573.0,3606.0
Andhra Pradesh,Guntur,2025-12,2262.0,1934.0,4196.0
Andhra Pradesh,Hyderabad,2025-01,12449.0,50539.0,62988.0
Andhra Pradesh,Hyderabad,2025-02,559.0,1251.0,1810.0
Andhra Pradesh,Hyderabad,2025-03,460.0,1453.0,1913.0
Andhra Pradesh,Hyderabad,2025-04,658.0,1961.0,2619.0
Andhra Pradesh,Hyderabad,2025-05,249.0,726.0,975.0
Andhra Pradesh,Hyderabad,2025-06,387.0,985.0,1372.0
Andhra Pradesh,Hyderabad,2025-07,226.0,519.0,745.0
Andhra Pradesh,Hyderabad,2025-08,466.0,1291.0,1757.0
Andhra Pradesh,Hyderabad,2025-09,344.0,1280.0,1624.0
Andhra Pradesh,Hyderabad,2025-10,401.0,1314.0,1715.0
Andhra Pradesh,Hyderabad,2025-11,501.0,1679.0,2180.0
Andhra Pradesh,Hyderabad,2025-12,440.0,1605.0,2045.0
Andhra Pradesh,K.V. Rangareddy,2025-01,40.0,25.0,65.0
Andhra Pradesh,K.V. Rangareddy,2025-02,7.0,10.0,17.0
Andhra Pradesh,K.V. Rangareddy,2025-03,6.0,5.0,11.0
Andhra Pradesh,K.V. Rangareddy,2025-04,10.0,16.0,26.0
Andhra Pradesh,K.V. Rangareddy,2025-05,0.0,6.0,6.0
Andhra Pradesh,K.V. Rangareddy,2025-06,3.0,5.0,8.0
Andhra Pradesh,K.V. Rangareddy,2025-07,2.0,2.0,4.0
Andhra Pradesh,K.V. Rangareddy,2025-08,1.0,9.0,10.0
Andhra Pradesh,K.V. Rangareddy,2025-09,5.0,3.0,8.0
Andhra Pradesh,K.V. Rangareddy,2025-10,1.0,8.0,9.0
Andhra Pradesh,K.V. Rangareddy,2025-11,1.0,6.0,7.0
Andhra Pradesh,K.V. Rangareddy,2025-12,13.0,9.0,22.0
Andhra Pradesh,K.V.Rangareddy,2025-01,17.0,25.0,42.0
Andhra Pradesh,K.V.Rangareddy,2025-02,12.0,22.0,34.0
Andhra Pradesh,K.V.Rangareddy,2025-03,13.0,22.0,35.0
Andhra Pradesh,K.V.Rangareddy,2025-04,6.0,27.0,33.0
Andhra Pradesh,K.V.Rangareddy,2025-05,4.0,4.0,8.0
Andhra Pradesh,K.V.Rangareddy,2025-06,3.0,22.0,25.0
Andhra Pradesh,K.V.Rangareddy,2025-07,3.0,15.0,18.0
Andhra Pradesh,K.V.Rangareddy,2025-08,3.0,16.0,19.0
Andhra Pradesh,K.V.Rangareddy,2025-09,5.0,19.0,24.0
Andhra Pradesh,K.V.Rangareddy,2025-10,3.0,20.0,23.0
Andhra Pradesh,K.V.Rangareddy,2025-11,12.0,24.0,36.0
Andhra Pradesh,K.V.Rangareddy,2025-12,4.0,33.0,37.0
Andhra Pradesh,Kakinada,2025-01,3970.0,3033.0,7003.0
Andhra Pradesh,Kakinada,2025-02,97.0,58.0,155.0
Andhra Pradesh,Kakinada,2025-03,70.0,72.0,142.0
Andhra Pradesh,Kakinada,2025-04,170.0,100.0,270.0
Andhra Pradesh,Kakinada,2025-05,96.0,48.0,144.0
Andhra Pradesh,Kakinada,2025-06,120.0,72.0,192.0
Andhra Pradesh,Kakinada,2025-07,84.0,27.0,111.0
Andhra Pradesh,Kakinada,2025-08,85.0,52.0,137.0
Andhra Pradesh,Kakinada,2025-09,64.0,81.0,145.0
Andhra Pradesh,Kakinada,2025-10,67.0,45.0,112.0
Andhra Pradesh,Kakinada,2025-11,104.0,75.0,179.0
Andhra Pradesh,Kakinada,2025-12,113.0,91.0,204.0
Andhra Pradesh,Karim Nagar,2025-01,131.0,472.0,603.0
Andhra Pradesh,Karim Nagar,2025-02,10.0,35.0,45.0
Andhra Pradesh,Karim Nagar,2025-03,13.0,29.0,42.0
Andhra Pradesh,Karim Nagar,2025-04,17.0,52.0,69.0
Andhra Pradesh,Karim Nagar,2025-05,9.0,24.0,33.0
Andhra Pradesh,Karim Nagar,2025-06,11.0,47.0,58.0
Andhra Pradesh,Karim Nagar,2025-07,9.0,13.0,22.0
Andhra Pradesh,Karim Nagar,2025-08,8.0,35.0,43.0
Andhra Pradesh,Karim Nagar,2025-09,7.0,42.0,49.0
Andhra Pradesh,Karim Nagar,2025-10,9.0,40.0,49.0
Andhra Pradesh,Karim Nagar,2025-11,11.0,40.0,51.0
Andhra Pradesh,Karim Nagar,2025-12,10.0,54.0,64.0
Andhra Pradesh,Karimnagar,2025-01,1830.0,5855.0,7685.0
Andhra Pradesh,Karimnagar,2025-02,109.0,322.0,431.0
Andhra Pradesh,Karimnagar,2025-03,118.0,358.0,476.0
Andhra Pradesh,Karimnagar,2025-04,183.0,433.0,616.0
Andhra Pradesh,Karimnagar,2025-05,81.0,142.0,223.0
Andhra Pradesh,Karimnagar,2025-06,105.0,194.0,299.0
Andhra Pradesh,Karimnagar,2025-07,64.0,110.0,174.0
Andhra Pradesh,Karimnagar,2025-08,88.0,219.0,307.0
Andhra Pradesh,Karimnagar,2025-09,93.0,299.0,392.0
Andhra Pradesh,Karimnagar,2025-10,108.0,404.0,512.0
Andhra Pradesh,Karimnagar,2025-11,104.0,375.0,479.0
Andhra Pradesh,Karimnagar,2025-12,84.0,362.0,446.0
Andhra Pradesh,Khammam,2025-01,7323.0,15475.0,22798.0
Andhra Pradesh,Khammam,2025-02,354.0,370.0,724.0
Andhra Pradesh,Khammam,2025-03,331.0,397.0,728.0
Andhra Pradesh,Khammam,2025-04,545.0,523.0,1068.0
Andhra Pradesh,Khammam,2025-05,146.0,197.0,343.0
Andhra Pradesh,Khammam,2025-06,273.0,295.0,568.0
Andhra Pradesh,Khammam,2025-07,201.0,163.0,364.0
Andhra Pradesh,Khammam,2025-08,297.0,347.0,644.0
Andhra Pradesh,Khammam,2025-09,187.0,366.0,553.0
Andhra Pradesh,Khammam,2025-10,280.0,388.0,668.0
Andhra Pradesh,Khammam,2025-11,380.0,412.0,792.0
Andhra Pradesh,Khammam,2025-12,359.0,452.0,811.0
Andhra Pradesh,Krishna,2025-01,100551.0,52440.0,152991.0
Andhra Pradesh,Krishna,2025-02,1625.0,1543.0,3168.0
Andhra Pradesh,Krishna,2025-03,1396.0,1610.0,3006.0
Andhra Pradesh,Krishna,2025-04,2344.0,1961.0,4305.0
Andhra Pradesh,Krishna,2025-05,1593.0,1109.0,2702.0
Andhra Pradesh,Krishna,2025-06,1826.0,1398.0,3224.0
Andhra Pradesh,Krishna,2025-07,1298.0,583.0,1881.0
Andhra Pradesh,Krishna,2025-08,1642.0,1344.0,2986.0
Andhra Pradesh,Krishna,2025-09,962.0,1287.0,2249.0
Andhra Pradesh,Krishna,2025-10,1215.0,1310.0,2525.0
Andhra Pradesh,Krishna,2025-11,1583.0,1546.0,3129.0
Andhra Pradesh,Krishna,2025-12,1783.0,1778.0,3561.0
Andhra Pradesh,Kurnool,2025-01,176069.0,63924.0,239993.0
Andhra Pradesh,Kurnool,2025-02,2796.0,1830.0,4626.0
Andhra Pradesh,Kurnool,2025-03,2619.0,2056.0,4675.0
Andhra Pradesh,Kurnool,2025-04,3511.0,2869.0,6380.0
Andhra Pradesh,Kurnool,2025-05,1859.0,1396.0,3255.0
Andhra Pradesh,Kurnool,2025-06,2316.0,1784.0,4100.0
Andhra Pradesh,Kurnool,2025-07,1253.0,762.0,2015.0
Andhra Pradesh,Kurnool,2025-08,1961.0,1559.0,3520.0
Andhra Pradesh,Kurnool,2025-09,1603.0,1616.0,3219.0
Andhra Pradesh,Kurnool,2025-10,1609.0,1515.0,3124.0
Andhra Pradesh,Kurnool,2025-11,2193.0,1845.0,4038.0
Andhra Pradesh,Kurnool,2025-12,2126.0,2121.0,4247.0
Andhra Pradesh,Mahabub Nagar,2025-01,284.0,1713.0,1997.0
Andhra Pradesh,Mahabub Nagar,2025-02,25.0,450.0,475.0
Andhra Pradesh,Mahabub Nagar,2025-03,27.0,534.0,561.0
Andhra Pradesh,Mahabub Nagar,2025-04,29.0,646.0,675.0
Andhra Pradesh,Mahabub Nagar,2025-05,17.0,213.0,230.0
Andhra Pradesh,Mahabub Nagar,2025-06,17.0,348.0,365.0
Andhra Pradesh,Mahabub Nagar,2025-07,13.0,182.0,195.0
Andhra Pradesh,Mahabub Nagar,2025-08,28.0,455.0,483.0
Andhra Pradesh,Mahabub Nagar,2025-09,20.0,390.0,410.0
Andhra Pradesh,Mahabub Nagar,2025-10,23.0,494.0,517.0
Andhra Pradesh,Mahabub Nagar,2025-11,16.0,451.0,467.0
Andhra Pradesh,Mahabub Nagar,2025-12,22.0,557.0,579.0
Andhra Pradesh,Mahabubnagar,2025-01,3.0,4.0,7.0
Andhra Pradesh,Mahabubnagar,2025-02,2.0,7.0,9.0
Andhra Pradesh,Mahabubnagar,2025-03,1.0,1.0,2.0
Andhra Pradesh,Mahabubnagar,2025-04,0.0,4.0,4.0
Andhra Pradesh,Mahabubnagar,2025-05,2.0,2.0,4.0
Andhra Pradesh,Mahabubnagar,2025-06,2.0,1.0,3.0
Andhra Pradesh,Mahabubnagar,2025-07,0.0,1.0,1.0
Andhra Pradesh,Mahabubnagar,2025-08,3.0,3.0,6.0
Andhra Pradesh,Mahabubnagar,2025-09,0.0,1.0,1.0
Andhra Pradesh,Mahabubnagar,2025-10,3.0,8.0,11.0
Andhra Pradesh,Mahabubnagar,2025-11,0.0,1.0,1.0
Andhra Pradesh,Mahabubnagar,2025-12,0.0,3.0,3.0
Andhra Pradesh,Mahbubnagar,2025-01,1447.0,5048.0,6495.0
Andhra Pradesh,Mahbubnagar,2025-02,58.0,266.0,324.0
Andhra Pradesh,Mahbubnagar,2025-03,73.0,376.0,449.0
Andhra Pradesh,Mahbubnagar,2025-04,120.0,368.0,488.0
Andhra Pradesh,Mahbubnagar,2025-05,50.0,136.0,186.0
Andhra Pradesh,Mahbubnagar,2025-06,67.0,211.0,278.0
Andhra Pradesh,Mahbubnagar,2025-07,40.0,109.0,149.0
Andhra Pradesh,Mahbubnagar,2025-08,69.0,220.0,289.0
Andhra Pradesh,Mahbubnagar,2025-09,44.0,292.0,336.0
Andhra Pradesh,Mahbubnagar,2025-10,57.0,298.0,355.0
Andhra Pradesh,Mahbubnagar,2025-11,76.0,277.0,353.0
Andhra Pradesh,Mahbubnagar,2025-12,53.0,317.0,370.0
Andhra Pradesh,Medak,2025-01,2600.0,7559.0,10159.0
Andhra Pradesh,Medak,2025-02,116.0,420.0,536.0
Andhra Pradesh,Medak,2025-03,160.0,439.0,599.0
Andhra Pradesh,Medak,2025-04,241.0,564.0,805.0
Andhra Pradesh,Medak,2025-05,88.0,192.0,280.0
Andhra Pradesh,Medak,2025-06,130.0,300.0,430.0
Andhra Pradesh,Medak,2025-07,85.0,130.0,215.0
Andhra Pradesh,Medak,2025-08,128.0,287.0,415.0
Andhra Pradesh,Medak,2025-09,106.0,393.0,499.0
Andhra Pradesh,Medak,2025-10,183.0,402.0,585.0
Andhra Pradesh,Medak,2025-11,175.0,357.0,532.0
Andhra Pradesh,Medak,2025-12,139.0,376.0,515.0
Andhra Pradesh,N. T. R,2025-01,4296.0,4709.0,9005.0
Andhra Pradesh,N. T. R,2025-02,97.0,86.0,183.0
Andhra Pradesh,N. T. R,2025-03,74.0,118.0,192.0
Andhra Pradesh,N. T. R,2025-04,110.0,106.0,216.0
Andhra Pradesh,N. T. R,2025-05,69.0,82.0,151.0
Andhra Pradesh,N. T. R,2025-06,88.0,85.0,173.0
Andhra Pradesh,N. T. R,2025-07,70.0,39.0,109.0
Andhra Pradesh,N. T. R,2025-08,82.0,96.0,178.0
Andhra Pradesh,N. T. R,2025-09,53.0,82.0,135.0
Andhra Pradesh,N. T. R,2025-10,74.0,80.0,154.0
Andhra Pradesh,N. T. R,2025-11,87.0,87.0,174.0
Andhra Pradesh,N. T. R,2025-12,101.0,78.0,179.0
Andhra Pradesh,Nalgonda,2025-01,2495.0,11597.0,14092.0
Andhra Pradesh,Nalgonda,2025-02,142.0,668.0,810.0
Andhra Pradesh,Nalgonda,2025-03,145.0,730.0,875.0
Andhra Pradesh,Nalgonda,2025-04,193.0,800.0,993.0
Andhra Pradesh,Nalgonda,2025-05,94.0,341.0,435.0
