Date,State,District,Enrolments,Updates,Child_Enrolments,Is_Anomaly,Forecast
2025-02-05,Uttar Pradesh,Lucknow,214,408,57,No,235
2025-02-06,Uttar Pradesh,Lucknow,212,296,55,No,233
2025-02-07,Uttar Pradesh,Lucknow,484,772,168,No,532
2025-02-08,Uttar Pradesh,Lucknow,65,124,11,No,71
2025-02-09,Uttar Pradesh,Lucknow,83,154,25,No,91
2025-02-10,Uttar Pradesh,Lucknow,446,808,130,No,490
2025-02-11,Uttar Pradesh,Lucknow,530,821,92,No,583
2025-02-12,Uttar Pradesh,Lucknow,176,374,57,No,193
2025-02-13,Uttar Pradesh,Lucknow,336,815,75,No,369
2025-02-14,Uttar Pradesh,Lucknow,578,1016,134,No,635
2025-02-15,Uttar Pradesh,Lucknow,21,46,4,No,23
2025-02-16,Uttar Pradesh,Lucknow,75,169,19,No,82
2025-02-17,Uttar Pradesh,Lucknow,410,949,126,No,451
2025-02-18,Uttar Pradesh,Lucknow,294,731,62,No,323
2025-02-19,Uttar Pradesh,Lucknow,541,1206,184,No,595
2025-02-20,Uttar Pradesh,Lucknow,294,437,44,No,323
2025-02-21,Uttar Pradesh,Lucknow,541,693,107,No,595
2025-02-22,Uttar Pradesh,Lucknow,82,141,16,No,90
2025-02-23,Uttar Pradesh,Lucknow,86,125,27,No,94
2025-02-24,Uttar Pradesh,Lucknow,201,442,69,No,221
2025-02-25,Uttar Pradesh,Lucknow,373,751,125,No,410
2025-02-26,Uttar Pradesh,Lucknow,380,461,122,No,418
2025-02-27,Uttar Pradesh,Lucknow,158,218,44,No,173
2025-02-28,Uttar Pradesh,Lucknow,590,1425,165,No,649
2025-03-01,Uttar Pradesh,Lucknow,75,182,18,No,82
2025-03-02,Uttar Pradesh,Lucknow,57,103,9,No,62
2025-03-03,Uttar Pradesh,Lucknow,496,1186,148,No,545
2025-03-04,Uttar Pradesh,Lucknow,244,304,75,No,268
2025-03-05,Uttar Pradesh,Lucknow,509,1150,144,No,559
2025-03-06,Uttar Pradesh,Lucknow,223,420,36,No,245
2025-03-07,Uttar Pradesh,Lucknow,555,1176,114,No,610
2025-03-08,Uttar Pradesh,Lucknow,81,159,15,No,89
2025-03-09,Uttar Pradesh,Lucknow,82,121,15,No,90
2025-03-10,Uttar Pradesh,Lucknow,417,816,121,No,458
2025-03-11,Uttar Pradesh,Lucknow,347,428,86,No,381
2025-03-12,Uttar Pradesh,Lucknow,169,297,38,No,185
2025-03-13,Uttar Pradesh,Lucknow,186,266,31,No,204
2025-03-14,Uttar Pradesh,Lucknow,182,246,49,No,200
2025-03-15,Uttar Pradesh,Lucknow,58,109,18,No,63
2025-03-16,Uttar Pradesh,Lucknow,66,124,11,No,72
2025-03-17,Uttar Pradesh,Lucknow,449,1110,78,No,493
2025-03-18,Uttar Pradesh,Lucknow,412,712,117,No,453
2025-03-19,Uttar Pradesh,Lucknow,508,1240,169,No,558
2025-03-20,Uttar Pradesh,Lucknow,368,702,83,No,404
2025-03-21,Uttar Pradesh,Lucknow,235,415,61,No,258
2025-03-22,Uttar Pradesh,Lucknow,42,60,8,No,46
2025-03-23,Uttar Pradesh,Lucknow,79,169,24,No,86
2025-03-24,Uttar Pradesh,Lucknow,512,1097,172,No,563
2025-03-25,Uttar Pradesh,Lucknow,239,552,45,No,262
2025-03-26,Uttar Pradesh,Lucknow,232,440,54,No,255
2025-03-27,Uttar Pradesh,Lucknow,462,746,124,No,508
2025-03-28,Uttar Pradesh,Lucknow,213,506,55,No,234
2025-03-29,Uttar Pradesh,Lucknow,97,201,19,No,106
2025-03-30,Uttar Pradesh,Lucknow,32,47,10,No,35
2025-03-31,Uttar Pradesh,Lucknow,553,830,119,No,608
2025-04-01,Uttar Pradesh,Lucknow,505,688,115,No,555
2025-04-02,Uttar Pradesh,Lucknow,300,383,58,No,330
2025-04-03,Uttar Pradesh,Lucknow,157,250,23,No,172
2025-04-04,Uttar Pradesh,Lucknow,463,1116,85,No,509
2025-04-05,Uttar Pradesh,Lucknow,96,234,32,No,105
2025-04-06,Uttar Pradesh,Lucknow,63,103,21,No,69
2025-04-07,Uttar Pradesh,Lucknow,499,1173,173,No,548
2025-04-08,Uttar Pradesh,Lucknow,470,1078,140,No,517
2025-04-09,Uttar Pradesh,Lucknow,204,415,66,No,224
2025-04-10,Uttar Pradesh,Lucknow,485,926,93,No,533
2025-04-11,Uttar Pradesh,Lucknow,525,913,109,No,577
2025-04-12,Uttar Pradesh,Lucknow,65,144,18,No,71
2025-04-13,Uttar Pradesh,Lucknow,57,77,9,No,62
2025-04-14,Uttar Pradesh,Lucknow,153,290,40,No,168
2025-04-15,Uttar Pradesh,Lucknow,285,342,46,No,313
2025-04-16,Uttar Pradesh,Lucknow,582,700,177,No,640
2025-04-17,Uttar Pradesh,Lucknow,191,292,54,No,210
2025-04-18,Uttar Pradesh,Lucknow,162,199,30,No,178
2025-04-19,Uttar Pradesh,Lucknow,64,95,19,No,70
2025-04-20,Uttar Pradesh,Lucknow,76,153,23,No,83
2025-04-21,Uttar Pradesh,Lucknow,289,438,74,No,317
2025-04-22,Uttar Pradesh,Lucknow,462,811,155,No,508
2025-04-23,Uttar Pradesh,Lucknow,599,1463,106,No,658
2025-04-24,Uttar Pradesh,Lucknow,481,834,100,No,529
2025-04-25,Uttar Pradesh,Lucknow,407,713,78,No,447
2025-04-26,Uttar Pradesh,Lucknow,48,111,13,No,52
2025-04-27,Uttar Pradesh,Lucknow,77,138,26,No,84
2025-04-28,Uttar Pradesh,Lucknow,528,940,136,No,580
2025-04-29,Uttar Pradesh,Lucknow,348,473,121,No,382
2025-04-30,Uttar Pradesh,Lucknow,283,458,56,No,311
2025-05-01,Uttar Pradesh,Lucknow,388,675,62,No,426
2025-05-02,Uttar Pradesh,Lucknow,234,465,56,No,257
2025-05-03,Uttar Pradesh,Lucknow,99,141,30,No,108
2025-05-04,Uttar Pradesh,Lucknow,94,133,28,No,103
2025-05-05,Uttar Pradesh,Lucknow,316,487,99,No,347
2025-05-06,Uttar Pradesh,Lucknow,536,1205,123,No,589
2025-05-07,Uttar Pradesh,Lucknow,522,966,100,No,574
2025-05-08,Uttar Pradesh,Lucknow,478,1055,161,No,525
2025-05-09,Uttar Pradesh,Lucknow,385,884,109,No,423
2025-05-10,Uttar Pradesh,Lucknow,90,113,16,No,99
2025-05-11,Uttar Pradesh,Lucknow,29,72,9,No,31
2025-05-12,Uttar Pradesh,Lucknow,281,617,44,No,309
2025-05-13,Uttar Pradesh,Lucknow,220,538,66,No,242
2025-05-14,Uttar Pradesh,Lucknow,273,668,94,No,300
2025-05-15,Uttar Pradesh,Lucknow,247,328,60,No,271
2025-05-16,Uttar Pradesh,Lucknow,197,269,56,No,216
2025-05-17,Uttar Pradesh,Lucknow,34,83,9,No,37
2025-05-18,Uttar Pradesh,Lucknow,90,185,20,No,99
2025-05-19,Uttar Pradesh,Lucknow,301,668,52,No,331
2025-05-20,Uttar Pradesh,Lucknow,495,970,129,No,544
2025-05-21,Uttar Pradesh,Lucknow,315,576,62,No,346
2025-05-22,Uttar Pradesh,Lucknow,482,800,141,No,530
2025-05-23,Uttar Pradesh,Lucknow,235,342,35,No,258
2025-05-24,Uttar Pradesh,Lucknow,25,30,6,No,27
2025-05-25,Uttar Pradesh,Lucknow,23,33,4,No,25
2025-05-26,Uttar Pradesh,Lucknow,278,486,60,No,305
2025-05-27,Uttar Pradesh,Lucknow,505,1213,140,No,555
2025-05-28,Uttar Pradesh,Lucknow,279,658,68,No,306
2025-05-29,Uttar Pradesh,Lucknow,258,392,65,No,283
2025-05-30,Uttar Pradesh,Lucknow,442,851,84,No,486
2025-05-31,Uttar Pradesh,Lucknow,25,32,7,No,27
2025-06-01,Uttar Pradesh,Lucknow,26,49,6,No,28
2025-06-02,Uttar Pradesh,Lucknow,236,525,82,No,259
2025-06-03,Uttar Pradesh,Lucknow,162,363,45,No,178
2025-06-04,Uttar Pradesh,Lucknow,466,712,136,No,512
2025-06-05,Uttar Pradesh,Lucknow,228,336,63,No,250
2025-06-06,Uttar Pradesh,Lucknow,184,270,32,No,202
2025-06-07,Uttar Pradesh,Lucknow,38,54,11,No,41
2025-06-08,Uttar Pradesh,Lucknow,41,49,9,No,45
2025-06-09,Uttar Pradesh,Lucknow,386,541,121,No,424
2025-06-10,Uttar Pradesh,Lucknow,490,1028,99,No,539
2025-06-11,Uttar Pradesh,Lucknow,301,592,71,No,331
2025-06-12,Uttar Pradesh,Lucknow,352,519,121,No,387
2025-06-13,Uttar Pradesh,Lucknow,539,1039,97,No,592
2025-06-14,Uttar Pradesh,Lucknow,95,184,20,No,104
2025-06-15,Uttar Pradesh,Lucknow,41,72,10,No,45
2025-06-16,Uttar Pradesh,Lucknow,336,807,56,No,369
2025-06-17,Uttar Pradesh,Lucknow,267,364,51,No,293
2025-06-18,Uttar Pradesh,Lucknow,234,388,62,No,257
2025-06-19,Uttar Pradesh,Lucknow,583,1083,140,No,641
2025-06-20,Uttar Pradesh,Lucknow,204,356,64,No,224
2025-06-21,Uttar Pradesh,Lucknow,99,173,16,No,108
2025-06-22,Uttar Pradesh,Lucknow,70,86,21,No,77
2025-06-23,Uttar Pradesh,Lucknow,194,397,58,No,213
2025-06-24,Uttar Pradesh,Lucknow,443,1097,129,No,487
2025-06-25,Uttar Pradesh,Lucknow,401,500,71,No,441
2025-06-26,Uttar Pradesh,Lucknow,529,882,180,No,581
2025-06-27,Uttar Pradesh,Lucknow,372,828,60,No,409
2025-06-28,Uttar Pradesh,Lucknow,81,133,19,No,89
2025-06-29,Uttar Pradesh,Lucknow,79,155,13,No,86
2025-06-30,Uttar Pradesh,Lucknow,195,477,61,No,214
2025-07-01,Uttar Pradesh,Lucknow,342,764,63,No,376
2025-07-02,Uttar Pradesh,Lucknow,371,604,92,No,408
2025-07-03,Uttar Pradesh,Lucknow,405,702,112,No,445
2025-07-04,Uttar Pradesh,Lucknow,299,590,100,No,328
2025-07-05,Uttar Pradesh,Lucknow,53,125,15,No,58
2025-07-06,Uttar Pradesh,Lucknow,90,193,27,No,99
2025-07-07,Uttar Pradesh,Lucknow,460,859,135,No,506
2025-07-08,Uttar Pradesh,Lucknow,338,827,65,No,371
2025-07-09,Uttar Pradesh,Lucknow,495,828,155,No,544
2025-07-10,Uttar Pradesh,Lucknow,311,396,79,No,342
2025-07-11,Uttar Pradesh,Lucknow,164,205,41,No,180
2025-07-12,Uttar Pradesh,Lucknow,67,140,13,No,73
2025-07-13,Uttar Pradesh,Lucknow,61,75,18,No,67
2025-07-14,Uttar Pradesh,Lucknow,311,675,67,No,342
2025-07-15,Uttar Pradesh,Lucknow,472,1022,85,No,519
2025-07-16,Uttar Pradesh,Lucknow,402,533,107,No,442
2025-07-17,Uttar Pradesh,Lucknow,532,1277,185,No,585
2025-07-18,Uttar Pradesh,Lucknow,212,350,63,No,233
2025-07-19,Uttar Pradesh,Lucknow,30,70,7,No,33
2025-07-20,Uttar Pradesh,Lucknow,82,142,22,No,90
2025-07-21,Uttar Pradesh,Lucknow,462,1002,98,No,508
2025-07-22,Uttar Pradesh,Lucknow,447,594,114,No,491
2025-07-23,Uttar Pradesh,Lucknow,388,617,119,No,426
2025-07-24,Uttar Pradesh,Lucknow,316,391,69,No,347
2025-07-25,Uttar Pradesh,Lucknow,207,391,49,No,227
2025-07-26,Uttar Pradesh,Lucknow,53,105,10,No,58
2025-07-27,Uttar Pradesh,Lucknow,58,122,17,No,63
2025-07-28,Uttar Pradesh,Lucknow,462,576,94,No,508
2025-07-29,Uttar Pradesh,Lucknow,399,697,73,No,438
2025-07-30,Uttar Pradesh,Lucknow,502,662,103,No,552
2025-07-31,Uttar Pradesh,Lucknow,592,993,155,No,651
2025-08-01,Uttar Pradesh,Lucknow,169,296,35,No,185
2025-08-02,Uttar Pradesh,Lucknow,21,25,6,No,23
2025-08-03,Uttar Pradesh,Lucknow,95,171,26,No,104
2025-08-04,Uttar Pradesh,Lucknow,417,948,85,No,458
2025-08-05,Uttar Pradesh,Lucknow,334,663,97,No,367
2025-08-06,Uttar Pradesh,Lucknow,301,693,94,No,331
2025-08-07,Uttar Pradesh,Lucknow,358,519,61,No,393
2025-08-08,Uttar Pradesh,Lucknow,196,329,45,No,215
2025-08-09,Uttar Pradesh,Lucknow,98,222,16,No,107
2025-08-10,Uttar Pradesh,Lucknow,55,119,9,No,60
2025-08-11,Uttar Pradesh,Lucknow,312,634,78,No,343
2025-08-12,Uttar Pradesh,Lucknow,345,602,54,No,379
2025-08-13,Uttar Pradesh,Lucknow,598,758,127,No,657
2025-08-14,Uttar Pradesh,Lucknow,278,379,86,No,305
2025-08-15,Uttar Pradesh,Lucknow,532,1124,175,No,585
2025-08-16,Uttar Pradesh,Lucknow,93,127,19,No,102
2025-08-17,Uttar Pradesh,Lucknow,59,111,14,No,64
2025-08-18,Uttar Pradesh,Lucknow,177,420,45,No,194
2025-08-19,Uttar Pradesh,Lucknow,251,388,44,No,276
2025-08-20,Uttar Pradesh,Lucknow,412,699,95,No,453
2025-08-21,Uttar Pradesh,Lucknow,519,997,179,No,570
2025-08-22,Uttar Pradesh,Lucknow,266,345,81,No,292
2025-08-23,Uttar Pradesh,Lucknow,27,50,7,No,29
2025-08-24,Uttar Pradesh,Lucknow,93,189,23,No,102
2025-08-25,Uttar Pradesh,Lucknow,184,263,33,No,202
2025-08-26,Uttar Pradesh,Lucknow,248,465,73,No,272
2025-08-27,Uttar Pradesh,Lucknow,569,772,169,No,625
2025-08-28,Uttar Pradesh,Lucknow,225,408,62,No,247
2025-08-29,Uttar Pradesh,Lucknow,211,482,63,No,232
2025-08-30,Uttar Pradesh,Lucknow,81,179,25,No,89
2025-08-31,Uttar Pradesh,Lucknow,74,140,25,No,81
2025-09-01,Uttar Pradesh,Lucknow,345,854,53,No,379
2025-09-02,Uttar Pradesh,Lucknow,481,1027,157,No,529
2025-09-03,Uttar Pradesh,Lucknow,519,941,100,No,570
2025-09-04,Uttar Pradesh,Lucknow,181,241,33,No,199
2025-09-05,Uttar Pradesh,Lucknow,374,905,114,No,411
2025-09-06,Uttar Pradesh,Lucknow,87,110,21,No,95
2025-09-07,Uttar Pradesh,Lucknow,21,48,4,No,23
2025-09-08,Uttar Pradesh,Lucknow,520,656,150,No,572
2025-09-09,Uttar Pradesh,Lucknow,301,482,83,No,331
2025-09-10,Uttar Pradesh,Lucknow,249,565,57,No,273
2025-09-11,Uttar Pradesh,Lucknow,368,718,66,No,404
2025-09-12,Uttar Pradesh,Lucknow,201,489,56,No,221
2025-09-13,Uttar Pradesh,Lucknow,37,48,11,No,40
2025-09-14,Uttar Pradesh,Lucknow,41,92,8,No,45
2025-09-15,Uttar Pradesh,Lucknow,520,1039,99,No,572
2025-09-16,Uttar Pradesh,Lucknow,436,629,150,No,479
2025-09-17,Uttar Pradesh,Lucknow,383,782,70,No,421
2025-09-18,Uttar Pradesh,Lucknow,530,893,172,No,583
2025-09-19,Uttar Pradesh,Lucknow,313,505,95,No,344
2025-09-20,Uttar Pradesh,Lucknow,32,65,5,No,35
2025-09-21,Uttar Pradesh,Lucknow,26,64,5,No,28
2025-09-22,Uttar Pradesh,Lucknow,499,836,173,No,548
2025-09-23,Uttar Pradesh,Lucknow,517,1189,79,No,568
2025-09-24,Uttar Pradesh,Lucknow,186,362,29,No,204
2025-09-25,Uttar Pradesh,Lucknow,499,1067,156,No,548
2025-09-26,Uttar Pradesh,Lucknow,533,1162,155,No,586
2025-09-27,Uttar Pradesh,Lucknow,22,48,3,No,24
2025-09-28,Uttar Pradesh,Lucknow,20,34,5,No,22
2025-09-29,Uttar Pradesh,Lucknow,254,410,68,No,279
2025-09-30,Uttar Pradesh,Lucknow,533,836,107,No,586
2025-10-01,Uttar Pradesh,Lucknow,518,780,81,No,569
2025-10-02,Uttar Pradesh,Lucknow,229,542,64,No,251
2025-10-03,Uttar Pradesh,Lucknow,430,791,146,No,473
2025-10-04,Uttar Pradesh,Lucknow,88,117,19,No,96
2025-10-05,Uttar Pradesh,Lucknow,80,184,19,No,88
2025-10-06,Uttar Pradesh,Lucknow,281,621,43,No,309
2025-10-07,Uttar Pradesh,Lucknow,334,607,80,No,367
2025-10-08,Uttar Pradesh,Lucknow,532,647,153,No,585
2025-10-09,Uttar Pradesh,Lucknow,235,385,74,No,258
2025-10-10,Uttar Pradesh,Lucknow,595,980,123,No,654
2025-10-11,Uttar Pradesh,Lucknow,46,112,10,No,50
2025-10-12,Uttar Pradesh,Lucknow,83,120,21,No,91
2025-10-13,Uttar Pradesh,Lucknow,403,517,118,No,443
2025-10-14,Uttar Pradesh,Lucknow,358,651,77,No,393
2025-10-15,Uttar Pradesh,Lucknow,249,428,50,No,273
2025-10-16,Uttar Pradesh,Lucknow,438,809,136,No,481
2025-10-17,Uttar Pradesh,Lucknow,316,617,92,No,347
2025-10-18,Uttar Pradesh,Lucknow,20,37,4,No,22
2025-10-19,Uttar Pradesh,Lucknow,36,85,9,No,39
2025-10-20,Uttar Pradesh,Lucknow,471,597,134,No,518
2025-10-21,Uttar Pradesh,Lucknow,492,982,145,No,541
2025-10-22,Uttar Pradesh,Lucknow,298,629,46,No,327
2025-10-23,Uttar Pradesh,Lucknow,405,940,88,No,445
2025-10-24,Uttar Pradesh,Lucknow,237,481,50,No,260
2025-10-25,Uttar Pradesh,Lucknow,95,197,19,No,104
2025-10-26,Uttar Pradesh,Lucknow,75,96,23,No,82
2025-10-27,Uttar Pradesh,Lucknow,412,1020,120,No,453
2025-10-28,Uttar Pradesh,Lucknow,260,502,90,No,286
2025-10-29,Uttar Pradesh,Lucknow,465,928,153,No,511
2025-10-30,Uttar Pradesh,Lucknow,453,1102,148,No,498
2025-10-31,Uttar Pradesh,Lucknow,204,288,49,No,224
2025-11-01,Uttar Pradesh,Lucknow,34,74,7,No,37
2025-11-02,Uttar Pradesh,Lucknow,88,219,17,No,96
2025-11-03,Uttar Pradesh,Lucknow,426,709,103,No,468
2025-11-04,Uttar Pradesh,Lucknow,298,467,61,No,327
2025-11-05,Uttar Pradesh,Lucknow,384,519,83,No,422
2025-11-06,Uttar Pradesh,Lucknow,311,545,71,No,342
2025-11-07,Uttar Pradesh,Lucknow,472,567,110,Yes,519
2025-11-08,Uttar Pradesh,Lucknow,87,149,19,No,95
2025-11-09,Uttar Pradesh,Lucknow,36,87,8,No,39
2025-11-10,Uttar Pradesh,Lucknow,341,437,118,No,375
2025-11-11,Uttar Pradesh,Lucknow,591,1074,200,No,650
2025-11-12,Uttar Pradesh,Lucknow,192,268,49,No,211
2025-11-13,Uttar Pradesh,Lucknow,210,435,48,No,231
2025-11-14,Uttar Pradesh,Lucknow,156,229,26,No,171
2025-11-15,Uttar Pradesh,Lucknow,41,64,11,No,45
2025-11-16,Uttar Pradesh,Lucknow,42,74,10,No,46
2025-11-17,Uttar Pradesh,Lucknow,361,762,84,No,397
2025-11-18,Uttar Pradesh,Lucknow,522,1266,91,No,574
2025-11-19,Uttar Pradesh,Lucknow,178,322,42,No,195
2025-11-20,Uttar Pradesh,Lucknow,323,480,91,No,355
2025-11-21,Uttar Pradesh,Lucknow,528,721,154,No,580
2025-11-22,Uttar Pradesh,Lucknow,34,58,8,No,37
2025-11-23,Uttar Pradesh,Lucknow,29,36,7,No,31
2025-11-24,Uttar Pradesh,Lucknow,486,881,114,No,534
2025-11-25,Uttar Pradesh,Lucknow,248,597,39,No,272
2025-11-26,Uttar Pradesh,Lucknow,214,377,58,No,235
2025-11-27,Uttar Pradesh,Lucknow,176,412,38,No,193
2025-11-28,Uttar Pradesh,Lucknow,244,584,63,No,268
2025-11-29,Uttar Pradesh,Lucknow,64,96,20,No,70
2025-11-30,Uttar Pradesh,Lucknow,23,29,7,No,25
2025-12-01,Uttar Pradesh,Lucknow,174,271,43,No,191
2025-12-02,Uttar Pradesh,Lucknow,589,1267,157,No,647
2025-12-03,Uttar Pradesh,Lucknow,534,972,117,No,587
2025-12-04,Uttar Pradesh,Lucknow,279,418,47,No,306
2025-12-05,Uttar Pradesh,Lucknow,358,707,97,No,393
2025-12-06,Uttar Pradesh,Lucknow,78,154,18,No,85
2025-12-07,Uttar Pradesh,Lucknow,28,53,8,No,30
2025-12-08,Uttar Pradesh,Lucknow,223,268,45,No,245
2025-12-09,Uttar Pradesh,Lucknow,447,582,149,No,491
2025-12-10,Uttar Pradesh,Lucknow,508,820,97,No,558
2025-12-11,Uttar Pradesh,Lucknow,491,750,161,No,540
2025-12-12,Uttar Pradesh,Lucknow,395,863,78,No,434
2025-12-13,Uttar Pradesh,Lucknow,72,90,16,No,79
2025-12-14,Uttar Pradesh,Lucknow,66,163,22,No,72
2025-12-15,Uttar Pradesh,Lucknow,292,519,58,No,321
2025-12-16,Uttar Pradesh,Lucknow,414,632,69,No,455
2025-12-17,Uttar Pradesh,Lucknow,155,334,37,No,170
2025-12-18,Uttar Pradesh,Lucknow,537,991,179,No,590
2025-12-19,Uttar Pradesh,Lucknow,225,387,34,No,247
2025-12-20,Uttar Pradesh,Lucknow,90,163,29,No,99
2025-12-21,Uttar Pradesh,Lucknow,26,61,8,No,28
2025-12-22,Uttar Pradesh,Lucknow,343,801,69,No,377
2025-12-23,Uttar Pradesh,Lucknow,408,973,68,No,448
2025-12-24,Uttar Pradesh,Lucknow,551,703,130,No,606
2025-12-25,Uttar Pradesh,Lucknow,161,319,49,No,177
2025-12-26,Uttar Pradesh,Lucknow,207,477,44,No,227
2025-12-27,Uttar Pradesh,Lucknow,43,56,11,No,47
2025-12-28,Uttar Pradesh,Lucknow,41,83,6,No,45
2025-12-29,Uttar Pradesh,Lucknow,344,495,115,No,378
2025-12-30,Uttar Pradesh,Lucknow,303,739,68,No,333
2025-12-31,Uttar Pradesh,Lucknow,527,680,156,No,579
2025-01-01,Uttar Pradesh,Varanasi,258,378,69,No,283
2025-01-02,Uttar Pradesh,Varanasi,439,966,126,No,482
2025-01-03,Uttar Pradesh,Varanasi,566,904,131,No,622
2025-01-04,Uttar Pradesh,Varanasi,54,123,8,No,59
2025-01-05,Uttar Pradesh,Varanasi,44,55,8,No,48
2025-01-06,Uttar Pradesh,Varanasi,221,465,60,No,243
2025-01-07,Uttar Pradesh,Varanasi,197,336,52,No,216
2025-01-08,Uttar Pradesh,Varanasi,171,208,29,No,188
2025-01-09,Uttar Pradesh,Varanasi,199,434,49,No,218
2025-01-10,Uttar Pradesh,Varanasi,354,542,66,No,389
2025-01-11,Uttar Pradesh,Varanasi,45,73,12,No,49
2025-01-12,Uttar Pradesh,Varanasi,49,62,9,No,53
2025-01-13,Uttar Pradesh,Varanasi,343,738,75,No,377
2025-01-14,Uttar Pradesh,Varanasi,198,433,41,No,217
2025-01-15,Uttar Pradesh,Varanasi,541,873,132,No,595
2025-01-16,Uttar Pradesh,Varanasi,471,974,74,No,518
2025-01-17,Uttar Pradesh,Varanasi,238,564,78,No,261
2025-01-18,Uttar Pradesh,Varanasi,60,88,11,Yes,66
2025-01-19,Uttar Pradesh,Varanasi,51,82,11,No,56
2025-01-20,Uttar Pradesh,Varanasi,275,584,49,No,302
2025-01-21,Uttar Pradesh,Varanasi,509,968,168,No,559
2025-01-22,Uttar Pradesh,Varanasi,495,1176,105,No,544
2025-01-23,Uttar Pradesh,Varanasi,481,1187,105,No,529
2025-01-24,Uttar Pradesh,Varanasi,556,1373,154,No,611
2025-01-25,Uttar Pradesh,Varanasi,47,72,13,No,51
2025-01-26,Uttar Pradesh,Varanasi,24,55,4,No,26
2025-01-27,Uttar Pradesh,Varanasi,479,996,77,No,526
2025-01-28,Uttar Pradesh,Varanasi,483,675,98,No,531
2025-01-29,Uttar Pradesh,Varanasi,213,452,72,No,234
2025-01-30,Uttar Pradesh,Varanasi,492,1000,144,No,541
2025-01-31,Uttar Pradesh,Varanasi,288,362,84,No,316
2025-02-01,Uttar Pradesh,Varanasi,47,102,8,No,51
2025-02-02,Uttar Pradesh,Varanasi,25,55,7,No,27
2025-02-03,Uttar Pradesh,Varanasi,542,1117,104,No,596
2025-02-04,Uttar Pradesh,Varanasi,492,750,76,No,541
2025-02-05,Uttar Pradesh,Varanasi,431,1012,73,No,474
2025-02-06,Uttar Pradesh,Varanasi,484,798,166,No,532
2025-02-07,Uttar Pradesh,Varanasi,198,448,52,No,217
2025-02-08,Uttar Pradesh,Varanasi,71,130,14,No,78
2025-02-09,Uttar Pradesh,Varanasi,47,112,8,No,51
2025-02-10,Uttar Pradesh,Varanasi,213,316,51,No,234
2025-02-11,Uttar Pradesh,Varanasi,465,840,120,No,511
2025-02-12,Uttar Pradesh,Varanasi,184,428,56,No,202
2025-02-13,Uttar Pradesh,Varanasi,295,451,82,No,324
2025-02-14,Uttar Pradesh,Varanasi,260,564,46,No,286
2025-02-15,Uttar Pradesh,Varanasi,99,210,33,No,108
2025-02-16,Uttar Pradesh,Varanasi,67,115,20,No,73
2025-02-17,Uttar Pradesh,Varanasi,251,615,51,No,276
2025-02-18,Uttar Pradesh,Varanasi,488,1006,140,No,536
2025-02-19,Uttar Pradesh,Varanasi,422,713,101,No,464
2025-02-20,Uttar Pradesh,Varanasi,456,863,71,No,501
2025-02-21,Uttar Pradesh,Varanasi,221,438,43,No,243
2025-02-22,Uttar Pradesh,Varanasi,44,86,7,No,48
2025-02-23,Uttar Pradesh,Varanasi,54,72,15,No,59
2025-02-24,Uttar Pradesh,Varanasi,536,754,87,Yes,589
